productCode,productName,nonNabhNablRate,nabhNablRate,state
48,Penetrating keratoplasty with glaucoma surgery,12144,13966,DELHI
49,Penetrating keratoplasty with vitrectomy,12144,13966,DELHI
50,Penetrating keratoplasty with IOL implantation,13656,15703,DELHI
51,DALK- Deep anterior lamellar keratoplasty,17250,19838,DELHI
52,Keratoprosthesis stage I and II,11500,13225,DELHI
53,"DSAEK Descemet’s stripping automated endothelial keratoplasty",16675,19176,DELHI
54,ALTK- Automated lamellar therapeutic keratoplasty,16500,18975,DELHI
55,Probing and Syringing of lacrimal sac- in one eye,69,79,DELHI
56,Probing and Syringing of lacrimal sac- in both eye,138,159,DELHI
57,Dacryocystorhinostomy-Plain,2875,3306,DELHI
58,"Dacryocystorhinostomy-Plain with intubation and/or with lacrimal implants",9750,11213,DELHI
59,Dacryocystorhinostomy-conjunctival with implant,9200,10580,DELHI
60,Caliculoplasty,2300,2645,DELHI
61,Dacryocystectomy,1725,1984,DELHI
62,Punctal plugs for dry eyes,130,150,DELHI
63,Refraction,40,46,DELHI
64,Indirect Ophthalmoscopy (Fundoscopy),67,77,DELHI
65,Orthoptic check-up- with synoptophore,44,51,DELHI
66,Lees’ charting or Hess’ charting,100,115,DELHI
67,Orthoptic exercises,50,58,DELHI
68,Pleoptic exercises,50,58,DELHI
69,Perimetry (Visual Field Testing) -Goldman,144,166,DELHI
70,Perimetry /Humphrey Visual Field (HVF ) test- Automated,144,166,DELHI
71,Fluorescein angiography for fundus or iris,920,1058,DELHI
72,Ultrasound A- Scan,863,992,DELHI
73,Ultrasound B- Scan,230,265,DELHI
74,Fundus Photo Test,200,230,DELHI
75,Indocyanin green angiography,920,1058,DELHI
76,"Corneal endothelial cell count with specular microscopy",230,265,DELHI
77,Corneal topography,331,381,DELHI
78,Corneal pachymetry (corneal thickness)/ CCT,230,265,DELHI
79,Auto-refraction,35,40,DELHI
80,Macular function tests,44,51,DELHI
81,Potential acuity metry,100,115,DELHI
82,Laser interferometry,173,199,DELHI
83,OCT-Optical coherence tomography,2125,2500,DELHI
84,HRT- Heidelberg’s retinal tomogram,150,173,DELHI
85,GDx Nerve fibre layer analysis,88,101,DELHI
86,UBM- Ultrasound bio microscopy,150,173,DELHI
87,Non Contact tonometry (NCT),50,58,DELHI
88,IOP measurement with schiotz,30,35,DELHI
89,IOP measurement with applanation tonometry,50,58,DELHI
90,Three mirror examination for retina,58,67,DELHI
91,90 D lens examination,50,58,DELHI
92,Gonioscopy,58,67,DELHI
93,Chalazion incision and curettage in one eye,400,460,DELHI
94,Chalazion incision and curettage in both eyes,431,496,DELHI
95,Ptosis surgery with fasanella servat procedure,2300,2645,DELHI
96,Ptosis surgery with LPS resection one lid,5500,6325,DELHI
97,Ptosis surgery with Sling surgery one lid,6670,7671,DELHI
98,Ectropion surgery- one lid,1400,1610,DELHI
99,Ectropion surgery- both lids,2500,2875,DELHI
100,Epicanthus correction,1550,1783,DELHI
101,Cantholysis and canthotomy,575,662,DELHI
102,Entropion surgery- one lid,1380,1587,DELHI
103,Entropion surgery- both lids,2000,2300,DELHI
104,Tarsorraphy,650,748,DELHI
105,Suturing of lid lacerations,1150,1323,DELHI
106,Lid retraction repair,1700,1955,DELHI
107,Concretions removal,115,132,DELHI
108,Bucket handle procedure for lid tumors,345,397,DELHI
109,Cheek rotation flap for lid tumors,6900,7935,DELHI
110,Orbitotomy,8050,9258,DELHI
111,Enucleation,3000,3450,DELHI
112,Enucleation with orbital implants and artificial,3000,3450,DELHI
113,Evisceration,3450,3968,DELHI
114,"Evisceration with orbital implants and artificial prosthesis",5693,6547,DELHI
115,Telecanthus correction,5175,5951,DELHI
116,Orbital decompression,5750,6613,DELHI
117,Exenteration,5750,6613,DELHI
118,Exenteration with skin grafting,6900,7935,DELHI
119,Fracture orbital repair,9200,10580,DELHI
120,Retinal laser procedures,1500,1725,DELHI
121,Retinal detachment surgery (RDS),11500,13225,DELHI
122,Retinal detachment surgery (RDS) with scleral buckling,13800,15870,DELHI
123,Buckle removal,1150,1323,DELHI
124,Silicone oil removal,2800,3220,DELHI
125,Anterior retinal cryopexy,1162,1336,DELHI
126,Squint correction for one eye,5000,5750,DELHI
127,Squint correction for both eyes,7500,8625,DELHI
128,Trabeculectomy,6900,7935,DELHI
129,Trabeculotomy,6900,7935,DELHI
130,Trabeculectomy with Trabeculotomy,10350,11903,DELHI
131,Trephination,2300,2645,DELHI
132,Goniotomy,345,397,DELHI
133,Glaucoma surgery with Glaucoma valves,6900+valve,7935 +valve,DELHI
134,Cyclocryotherapy,1150,1323,DELHI
135,YAG laser iridotomy,1500,1725,DELHI
136,YAG laser capsulotomy,1093,1257,DELHI
137,ALT-Argon laser trabeculoplasty,1495,1719,DELHI
138,PDT-Photodymic therapy,3450,3968,DELHI
139,TTT- Transpupillary thermal therapy,3000,3450,DELHI
140,PTK- Phototherapeutic keratectomy,7500,8625,DELHI
141,Argon/diode laser for retinal detatchment,1150,1323,DELHI
142,Intralase application for keratoconus,5750,6613,DELHI
143,EOG- electro-oculogram,900,1035,DELHI
144,ERG- Electro-retinogram,794,913,DELHI
145,VEP- visually evoked potential,800,920,DELHI
146,Vitrectomy- pars plana,11500,13225,DELHI
147,Intravitreal injections of antibiotics,1150,1323,DELHI
148,Intravitreal Injection of drugs (Ranibizumab/ Aflibercept etc) excluding cost of drug,3000,3450,DELHI
149,X Ray orbit,115,132,DELHI
150,CT orbit and brain,1600,1840,DELHI
151,MRI- Orbit and brain,3450,3968,DELHI
152,Dacryocystography,340,391,DELHI
153,Orbital angio-graphical studies,1500,1725,DELHI
154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968,DELHI
155,Small Incision Cataract Surgery (SICS) with IOL,5000,5750,DELHI
156,"Phaco with foldable IOL (silicone and acrylic)/PMMA IOL",10781,12398,DELHI
157,Pars plana lensectomy with/without IOL,10350,11903,DELHI
158,"Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL",6900,7935,DELHI
159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500,15525,DELHI
160,Optic nerve sheathotomy,7500,8625,DELHI
161,Iridodialysis repair or papillary reconstruction,5000,5750,DELHI
162,Iris cyst removal,850,978,DELHI
163,Lid Abscess incision and Drainage,1700,1955,DELHI
164,Orbital Abscess incision and Drainage,3000,3450,DELHI
165,Biopsy (eye),460,529,DELHI
166,Paracentesis (eye),230,265,DELHI
167,Scleral graft for scleral melting or perforation,2800,3220,DELHI
168,Amniotic membrane grafting,1100,1265,DELHI
169,Cyclodiathermy,2300,2645,DELHI
170,Intraocular foreign body removal,187,215,DELHI
171,Electrolysis (eye),230,265,DELHI
172,Perforating injury repair (eye),4500,5175,DELHI
173,Botulinum injection for blepharospasm or squint (excluding cost of drug),2500,2875,DELHI
174,Flap Operation per quadrant,360,414,DELHI
175,Gingivectomy per quadrant,234,269,DELHI
176,"Reduction & immobilization of fracture- Maxilla Under LA",900,1035,DELHI
177,"Reduction & immobilization of Fracture-Mandible Under LA",3500,4025,DELHI
178,Splints/Circummandibular wiring under LA,510,587,DELHI
179,Splints/Circummandibular wiring under GA,990,1139,DELHI
180,"Internal wire fixation/plate fixation of Maxilla under LA",3000,3450,DELHI
181,"Internal wire fixation/plate fixation of Maxilla under GA",4000,4600,DELHI
182,"Internal wire fixation/plate fixation of Mandible under LA",3500,4025,DELHI
183,"Internal wire fixation/plate fixation of Mandible under GA",4250,4888,DELHI
184,Extraction per tooth under LA,80,92,DELHI
185,Complicated Extraction per Tooth under LA,100,115,DELHI
186,Extraction of impacted tooth under LA,160,184,DELHI
187,"Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA",939,1080,DELHI
188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281,DELHI
189,"Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms under LA",406,467,DELHI
190,"Cyst & tumour of Maxilla/mandible by enucleation / excision / marsupialisation size more than 4 cms under GA",1000,1150,DELHI
191,TM joint ankylosis- under GA,7500,8625,DELHI
192,Biopsy Intraoral-Soft tissue,374,430,DELHI
193,Biopsy Intraoral-Bone,374,430,DELHI
194,Hemi-mandibulectomy with graft,21000,24150,DELHI
195,Hemi-mandibulectomy without graft,21000,24150,DELHI
196,Segmental-mandibulectomy with graft,3400,3910,DELHI
197,Segmental-mandibulectomy without graft,990,1139,DELHI
198,Maxillectomy- Total with graft,2500,2875,DELHI
199,Maxillectomy- Total without graft,1950,2243,DELHI
200,Maxillectomy- partial with graft,3000,3450,DELHI
201,Maxillectomy- partial without graft,2500,2875,DELHI
202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725,DELHI
203,Pre-prosthetic surgery- Alveoloplasty (per arch),500,575,DELHI
204,Pre-prosthetic surgery - ridge augmentation (per arch),1200,1380,DELHI
205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575,DELHI
206,"Root canal Treatment(RCT) Posterior teeth (per tooth)",700,805,DELHI
207,Apicoectomy- Single root,500,575,DELHI
208,Apicoectomy-Multiple roots,650,748,DELHI
209,Metal Crown-per unit,500,575,DELHI
210,Metal Crown with Acrylic facing per unit,700,805,DELHI
211,Complete single denture-metal based,1500,1725,DELHI
212,Complete denture- acrylic based per arch,950,1093,DELHI
213,Removable partial denture-Metal based-upto 3 teeth,700,805,DELHI
214,"Removable partial denture-Metal based-more than 3 teeth",900,1035,DELHI
215,Removable partial denture-Acrylic based-upto 3 teeth,500,575,DELHI
216,"Removable partial denture-Acrylic based-more than 3 teeth / Per tooth",264,304,DELHI
217,Amalgam restoration-per tooth,200,230,DELHI
218,Composite Restoration-per tooth-anterior tooth,250,288,DELHI
219,Glass Ionomer filling-per tooth,200,230,DELHI
220,Scaling & polishing,300,345,DELHI
221,Removable Orthodontics appliance- per Arch,700,805,DELHI
222,Fixed Orthodontics-per Arch,1150,1323,DELHI
223,Space maintainers-Fixed,500,575,DELHI
224,Habit breaking appliances-removable,800,920,DELHI
225,Habit breaking appliances-Fixed,1500,1725,DELHI
226,Expansion plate,1000,1150,DELHI
227,Feeding appliance for cleft palate,1500,1725,DELHI
228,"Maxillo-facial prosthesis (sal /auricular/orbital/facial lost part)",3500,4025,DELHI
229,Functional orthodontic appliances,3000,3450,DELHI
230,Obturator (Maxillo-facial),1500,1725,DELHI
231,Occlusal night guard(splint),800,920,DELHI
232,Pure Tone Audiogram / Pure Tone Audiometry / PTA,172,198,DELHI
233,"Impedance with stepedial reflex / Impedance Audiometry",230,265,DELHI
234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152,DELHI
235,Multiple hearing assessment test to Adults,115,132,DELHI
236,Speech Discrimination Score,90,103,DELHI
237,Speech Assessment,120,138,DELHI
238,Speech therapy per session of 30-40 minutes,131,151,DELHI
239,Cold Calorie Test for Vestibular function,172,198,DELHI
240,Removal of foreign body From Nose,345,397,DELHI
241,Removal of foreign body From Ear,230,265,DELHI
242,Syringing (Ear),166,191,DELHI
243,Polyp removal under LA,575,661,DELHI
244,Polyp removal under GA,850,978,DELHI
245,Peritonsillar abscess Drainage under LA,1449,1666,DELHI
246,Myringoplasty,6900,7935,DELHI
247,Staepedectomy,9200,10580,DELHI
248,Myringotomy with Grommet insertion,4600,5290,DELHI
249,Tympanotomy,8625,9919,DELHI
250,Tympanoplasty,13800,15870,DELHI
251,Mastoidectomy,14950,17193,DELHI
252,Otoplasty,16100,18515,DELHI
253,Labyrinthectomy,13800,15870,DELHI
254,Skull Base surgery,25000,28750,DELHI
255,Facial Nerve Decompression,17250,19838,DELHI
256,Septoplasty,5750,6613,DELHI
257,Submucous Resection,7314,8411,DELHI
258,Septo-rhinoplasty,16100,18515,DELHI
259,Rhinoplasty- Non-cosmetic,11500,13225,DELHI
260,Fracture Reduction of Nasal Bone,4250,5000,DELHI
261,Intra nasal Diathermy,1150,1323,DELHI
262,Turbinectomy,5750,6613,DELHI
263,Endoscopic Dacryocystorhinostomy (DCR),13000,14950,DELHI
264,Endoscopic Surgery (ENT),13800,15870,DELHI
265,Septal Perforation Repair,13800,15870,DELHI
266,Antrum Puncture,950,1093,DELHI
267,Lateral Rhinotomy,1000,1150,DELHI
268,Cranio-facial resection,25500,29325,DELHI
269,"Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus)",10626,12220,DELHI
270,Angiofibroma Excision,17000,19550,DELHI
271,Endoscopic Hypophysectomy,21500,24725,DELHI
272,Endoscopic Optic Nerve Decompression,32775,37691,DELHI
273,Decompression of Orbit,25500,29325,DELHI
274,Punch/Wedge biopsy,674,775,DELHI
275,Tonsillectomy,5000,5750,DELHI
276,Uvulo-palatoplasty,15000,17250,DELHI
277,"Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp",5750,6613,DELHI
278,"Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp",5750,6613,DELHI
279,Polyp removal ear,748,860,DELHI
280,Polyp removal Nose(Septal polyp),748,860,DELHI
281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)",2415,2777,DELHI
282,Endolymphatic sac decompression,2875,3306,DELHI
283,Diagnostic endoscopy under GA,2300,2645,DELHI
284,Young's operation for Atrophic rhinitis,6900,7935,DELHI
285,Vidian neurectomy for vasomotor Rhinitis,10350,11903,DELHI
286,Nasal Packing-anterior,345,397,DELHI
287,Nasal Packing-posterior,805,926,DELHI
288,Ranula Excision,6843,7869,DELHI
289,Tongue Tie excision,1500,1725,DELHI
290,Sub Mandibular Duct Lithotomy,269,309,DELHI
291,Adenoidectomy,5640,6486,DELHI
292,Palatopharyngoplasty,8165,9390,DELHI
293,Pharyngoplasty,17193,19772,DELHI
294,Styloidectomy,9200,10580,DELHI
295,Direct laryngoscopy including Biopsy under GA,5000,5750,DELHI
296,"Oesophagoscopy with foreign body removal from Oesophagus",1800,2070,DELHI
297,Bronchoscopy with foreign body (FB) removal,2438,2804,DELHI
298,Other Major Surgery-ENT,1500,17250,DELHI
299,Other Minor Surgery-ENT,8500,10000,DELHI
300,Ear Lobe Repair one side,500,575,DELHI
301,"Excision of Pinna for Growth (Squamous/Basal/Injuries) Skin Only",4000,4600,DELHI
302,Excision of Pinna for Growth (Squamous/Basal/Injuries) Skin and Cartilage,3800,4370,DELHI
303,Partial Amputation of Pinna,4500,5175,DELHI
304,Total Amputation of Pinna,6200,7130,DELHI
305,"Total Amputation & Excision of External Auditory Meatus",1500,1725,DELHI
306,Excision of Cystic Hygroma,5175,5951,DELHI
307,Excision of Cystic Hygroma Extensive,7452,8570,DELHI
308,Excision of Branchial Cyst,10350,11903,DELHI
309,Excision of Branchial Sinus,10350,11903,DELHI
310,Excision of Pharyngeal Diverticulum,10580,12167,DELHI
311,Excision of Carotid Body-Tumours,11615,13357,DELHI
312,Operation for Cervical Rib,12500,14375,DELHI
313,Block Dissection of Cervical Lymph Nodes,15000,17250,DELHI
314,Pharyngectomy & Reconstruction,15000,17250,DELHI
315,Operation for Carcinoma Lip - Wedge-Excision,8050,9258,DELHI
316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622,DELHI
317,"Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy",9292,10686,DELHI
318,"Estlander Operation (Estlander flap in plastic surgery of lips)",7475,8596,DELHI
319,Abbe Operation (Abbe flap in plastic surgery of lips),9800,11270,DELHI
320,Cheek Advancement,9775,11241,DELHI
321,Excision of the Maxilla,19320,22218,DELHI
322,Excision of mandible-segmental,15525,17854,DELHI
323,Mandibulectomy,21000,24150,DELHI
324,Partial Glossectomy,5520,6348,DELHI
325,Hemiglossectomy,7000,8050,DELHI
326,Total Glossectomy,22885,26318,DELHI
327,"Combined Mandibulectomy and Neck Dissection Operation (Commando Operation)",22000,25300,DELHI
328,Parotidectomy - Superficial,12075,13886,DELHI
329,Parotidectomy - Total,15000,17250,DELHI
330,Parotidectomy - Radical,19550,22483,DELHI
331,Repair of Parotid Duct,11500,13225,DELHI
332,Removal of Submandibular Salivary gland,8625,9919,DELHI
333,Hemithyroidectomy,9500,10925,DELHI
334,Partial Thyroidectomy (lobectomy),11500,13225,DELHI
335,Subtotal Thyroidectomy,13053,15011,DELHI
336,Total Thyroidectomy,19000,21850,DELHI
337,Resection Enucleation of thyroid Adenoma,10580,12167,DELHI
338,Total Thyroidectomy and Block Dissection,26450,30418,DELHI
339,Excision of Lingual Thyroid,16882,19414,DELHI
340,Excision of Thyroglossal Cyst/Fistula,13225,15209,DELHI
341,Excision of Parathyroid Adenoma/Carcinoma,21275,24466,DELHI
342,Laryngectomy,17825,20499,DELHI
343,Laryngo Pharyngectomy,30000,34500,DELHI
344,Hyoid Suspension,10350,11903,DELHI
345,Genioplasty,12000,13800,DELHI
346,"Direct Laryngoscopy including biopsy under GA",5000,5750,DELHI
347,Phonosurgery,13800,15870,DELHI
348,Fibreoptic examination of Larynx (FOL) under LA,1725,1984,DELHI
349,Microlaryngeal Surgery,10350,11903,DELHI
350,Laryngofissure,17250,19838,DELHI
351,Tracheal Stenosis Excision,19780,22747,DELHI
352,Excisional Biopsies,5750,6613,DELHI
353,Benign Tumour Excisions,9500,10925,DELHI
354,Temporal Bone subtotal resection,20700,23805,DELHI
355,Modified Radical Neck Dissection,25300,29095,DELHI
356,Carotid Body Excision,26000,29900,DELHI
357,Total Laryngectomy,39192,45071,DELHI
358,Flap Reconstructive Surgery,41400,47610,DELHI
359,Parapharyngeal Tumour Excision,39330,45230,DELHI
360,Other Major Surgery-Head and Neck Cancer,21250,25000,DELHI
361,Other Minor Surgery-Head and Neck Cancer,5000,5750,DELHI
362,Drainage of abscess,6000,6900,DELHI
363,Excision of lumps,6969,8014,DELHI
364,Local mastectomy-simple,12650,14548,DELHI
365,Radical mastectomy-formal or modified.,28750,33063,DELHI
366,Excision of mammary fistula,15525,17854,DELHI
367,Segmental resection of breast,16100,18515,DELHI
368,Other Major Surgery-Breast,25000,28750,DELHI
369,Other Minor Surgery-Breast,5000,5750,DELHI
370,Injury Of Superficial Soft Tissues,425,500,DELHI
371,Suturing of small wounds,269,309,DELHI
372,Secondary suture of wounds,3400,4000,DELHI
373,Debridement of wounds,450,518,DELHI
374,Removal Of Foreign Bodies,300,345,DELHI
375,Excision of Cervical Lymph Node,1725,1984,DELHI
376,Excision of Axillary Lymph Node,2277,2619,DELHI
377,Excision of Inguinal Lymph Node,2277,2619,DELHI
378,Excision Biopsy of Ulcers,1470,1691,DELHI
379,Excision Biopsy of Superficial Lumps,3220,3703,DELHI
380,Incision Biopsy of Growths/Ulcers,1470,1691,DELHI
381,Trucut Needle Biopsy,1550,1783,DELHI
382,Percutaneous Kidney Biopsy,1470,1691,DELHI
383,Marrow Biopsy (Open),1060,1219,DELHI
384,Muscle Biopsy,383,450,DELHI
385,Scalene Node Biopsy,1350,1553,DELHI
386,Excision of Sebaceous Cysts,1242,1428,DELHI
387,Excision of Superficial Lipoma,1932,2222,DELHI
388,Excision of Superficial Neurofibroma,2500,2875,DELHI
389,Excision of Dermoid Cysts,2277,2619,DELHI
390,Haemorrhoidectomy,20720,24375,DELHI
391,Stappler haemorrhoidectomy,38000,43700,DELHI
392,keloid excision,1150,1323,DELHI
393,"Varicose vein Surgery-Trendelenburg operation with suturing or ligation",10000,11500,DELHI
394,"Atresia of Oesophagus and Tracheo Oesophageal Fistula",28750,33063,DELHI
395,Operations for Replacement of Oesophagus by Colon,25000,28750,DELHI
396,Oesophagectomy for Carcinoma Easophagus,25000,28750,DELHI
397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225,DELHI
398,Achalasia Cardia Transthoracic,14950,17193,DELHI
399,Achalasia Cardia Abdominal,12650,14548,DELHI
400,Oesophago Gastrectomy for mid 1/3 lesion,24495,28169,DELHI
401,Heller’s Operation,19750,22713,DELHI
402,Colon-Inter position or Replacement of Oesophagus,22540,25921,DELHI
403,"Oesophago Gastrectomy – Lower Corringers procedure",21390,24599,DELHI
404,Other Major Surgery-Oesophagus,27625,32500,DELHI
405,Other Minor Surgery-Oesophagus,5000,5750,DELHI
406,Gastroscopy,1725,1984,DELHI
407,Gastric & Duodenal Biopsy (Endoscopy and biopsy combined),1950,2243,DELHI
408,Pyloromyotomy,2800,3220,DELHI
409,Gastrostomy,8625,9919,DELHI
410,Simple Closure of Perforated peptic Ulcer,9775,11241,DELHI
411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870,DELHI
412,Duodenojejunostomy,18950,21793,DELHI
413,Partial/Subtotal Gastrectomy for Carcinoma,23000,26450,DELHI
414,Partial/Subtotal Gastrectomy for Ulcer,22425,25789,DELHI
415,Operation for Bleeding Peptic Ulcer,20976,24122,DELHI
416,Operation for Gastrojejunal Ulcer,19780,22747,DELHI
417,Total Gastrectomy for Cancer,22368,25723,DELHI
418,Highly Selective Vagotomy,18630,21425,DELHI
419,Selective Vagotomy & Drainage,18630,21425,DELHI
420,Congenital Diaphragmatic Hernia,18975,21821,DELHI
421,Hiatus Hernia Repair- Abdominal,14490,16664,DELHI
422,Hiatus Hernia Repair- Transthoracic,16100,18515,DELHI
423,Exploratory Laparotomy,12650,14548,DELHI
424,Epigastric Hernia Repair,11385,13093,DELHI
425,Umbilical Hernia Repair,11385,13093,DELHI
426,Ventral /incisional Hernia Repair,10293,11837,DELHI
427,Inguinal Hernia Herniorrhaphy,14835,17060,DELHI
428,Inguinal Hernia - Hernioplasty,16500,18975,DELHI
429,Femoral Hernia Repair,18285,21028,DELHI
430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar,Sciatic)",18975,21821,DELHI
431,Splenectomy - For Trauma,18975,21821,DELHI
432,Splenectomy - For Hypersplenism,14490,16664,DELHI
433,Splenorenal Anastomosis,23000,26450,DELHI
434,Portocaval Anastomosis,28750,33063,DELHI
435,"Direct Operation on Oesophagus for Portal Hypertension",22885,26318,DELHI
436,Mesentericocaval Anastomosis,25450,29268,DELHI
437,Warren Shunt (Distal Splenorenal Shunt),28750,33063,DELHI
438,Pancreatico Duodenectomy (Whipple's procedure),21735,24995,DELHI
439,"By Pass Procedure for Inoperable Carcinoma of Pancreas",23000,26450,DELHI
440,Cystojejunostomy or Cystogastrostomy,14490,16664,DELHI
441,Cholecystectomy,10292,11836,DELHI
442,Cholecystectomy & Exploration of CBD,14375,16531,DELHI
443,Repair of Common Bile Duct (CBD),13600,16000,DELHI
444,Operation for Hydatid Cyst of Liver,11902,13687,DELHI
445,Cholecystostomy,10292,11836,DELHI
446,Hepatic Resections (Lobectomy /Hepatectomy),14375,16531,DELHI
447,Operation on Adrenal Glands - Bilateral,26105,30021,DELHI
448,Operation on Adrenal Glands - Unilateral,13800,15870,DELHI
449,Appendicectomy,8108,9324,DELHI
450,Appendicular Abscess – Drainage,9775,11241,DELHI
451,Mesenteric Cyst- Excision,11040,12696,DELHI
452,Peritonioscopy/Laparoscopy,4600,5290,DELHI
453,Jejunostomy,5750,6613,DELHI
454,Ileostomy,15410,17722,DELHI
455,Resection & Anastomosis of Small Intestine,20700,23805,DELHI
456,Duodenal Diverticulum,18400,21160,DELHI
457,Operation for Intestinal Obstruction,10350,11903,DELHI
458,Operation for Intestinal perforation,38000,43700,DELHI
459,Benign Tumours of Small Intestine,19550,22483,DELHI
460,Excision of Small Intestine Fistula,19550,22483,DELHI
461,Operations for GI Bleed,16000,18400,DELHI
462,Operations for Haemorrhage of Small Intestines,19550,22483,DELHI
463,Operations of the Duplication of the Intestines,17825,20499,DELHI
464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000,26450,DELHI
465,Ileosigmoidostomy and related resection,16790,19309,DELHI
466,Ileotransverse Colostomy and related resection,16790,19309,DELHI
467,Caecostomy,3903,4488,DELHI
468,Loop Colostomy Transverse Sigmoid,13110,15077,DELHI
469,Terminal Colostomy,17250,19838,DELHI
470,Closure of Colostomy,17480,20102,DELHI
471,Right Hemicolectomy,13800,15870,DELHI
472,Left Hemicolectomy,13800,15870,DELHI
473,Total Colectomy,17250,19838,DELHI
474,Operations for Volvulus of Large Bowel,24920,28658,DELHI
475,Operations for Sigmoid Diverticulitis,18630,21425,DELHI
476,"Fissure in Ano with Internal sphinctrectomy with fissurectomy.",13800,15870,DELHI
477,Fissure in Ano - Fissurectomy,13800,15870,DELHI
478,Rectal Polyp-Excision,5658,6507,DELHI
479,Fistula in Ano - High Fistulectomy,16780,19297,DELHI
480,Fistula in Ano - Low Fistulectomy,9867,11347,DELHI
481,Prolapse Rectum - Thiersch Wiring,10350,11903,DELHI
482,Prolapse Rectum - Rectopexy,5750,6613,DELHI
483,Prolapse Rectum - Grahams Operation,18400,21160,DELHI
484,Operations for Hirschsprungs Disease,14260,16399,DELHI
485,Excision of Pilonidal Sinus (open),11500,13225,DELHI
486,Excision of Pilonidal Sinus with closure,11500,13225,DELHI
487,Abdomino-Perineal Excision of Rectum,18300,21045,DELHI
488,Anterior Resection of rectum,21850,25128,DELHI
489,Pull Through Abdominal Resection,17170,19746,DELHI
490,Retro Peritoneal Tumor Removal,18000,20700,DELHI
491,Radio ablation of varicose veins,1800,2070,DELHI
492,Laser ablation of varicose veins,17250,19838,DELHI
493,Laparoscopic Fundoplication,19300,22195,DELHI
